symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data,required_lookback_ready_for_2024_01_01,status,reason
A1CAP,2023-06-15,2026-05-08,202,1,1,1,1,ok,
A1YEN,2021-07-16,2026-05-08,326,1,1,1,1,ok,
AAGYO,2026-04-09,2026-05-08,20,0,0,1,0,ok,
ACSEL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ADEL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ADESE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ADGYO,2023-09-20,2026-05-08,182,1,1,1,1,ok,
AEFES,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AFYON,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AGESA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AGHOL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AGROT,2023-11-23,2026-05-08,305,1,1,1,1,ok,
AGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AHGAZ,2022-12-22,2026-05-08,238,1,1,1,1,ok,
AHSGY,2024-08-29,2026-05-08,118,1,1,1,0,ok,
AKBNK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKCNS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKENR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKFGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKFIS,2025-01-23,2026-05-08,70,0,1,1,0,ok,
AKFYE,2023-03-16,2026-05-08,188,1,1,1,1,ok,
AKGRT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKHAN,2026-02-06,2026-05-08,9,0,0,1,0,ok,
AKMGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKSUE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AKYHO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALARK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALBRK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALCAR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALCTL,2021-01-06,2026-05-08,338,1,1,1,1,ok,
ALFAS,2022-11-16,2026-05-08,227,1,1,1,1,ok,
ALGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALKA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALKIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ALKLC,2024-06-04,2026-05-08,124,1,1,1,0,ok,
ALTNY,2024-05-16,2026-05-08,58,1,1,1,0,ok,
ALVES,2024-02-29,2026-05-08,136,1,1,1,0,ok,
ANELE,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ANGEN,2021-10-21,2026-05-08,269,1,1,1,1,ok,
ANHYT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ANSGR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARASE,2021-11-11,2026-05-08,289,1,1,1,1,ok,
ARCLK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARDYZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARENA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ARFYE,2026-01-05,2026-05-08,20,0,0,1,0,ok,
ARMGD,2025-01-03,2026-05-08,82,0,1,1,0,ok,
ARSAN,2021-01-06,2026-05-08,336,1,1,1,1,ok,
ARTMS,2024-03-04,2026-05-08,142,1,1,1,0,ok,
ARZUM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ASELS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ASGYO,2023-08-03,2026-05-08,163,1,1,1,1,ok,
ASTOR,2023-01-18,2026-05-08,230,1,1,1,1,ok,
ASUZU,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ATAGY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ATAKP,2023-07-27,2026-05-08,186,1,1,1,1,ok,
ATATP,2021-06-04,2026-05-08,326,1,1,1,1,ok,
ATATR,2026-02-19,2026-05-08,11,0,0,1,0,ok,
AVGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AVHOL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AVOD,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AVPGY,2023-12-21,2026-05-08,293,1,1,1,1,ok,
AVTUR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AYCES,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AYDEM,2021-04-29,2026-05-08,308,1,1,1,1,ok,
AYEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AYGAZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
AZTEK,2022-08-17,2026-05-08,248,1,1,1,1,ok,
BAGFS,2021-01-06,2026-05-08,351,1,1,1,1,ok,
BAHKM,2024-08-13,2026-05-08,111,1,1,1,0,ok,
BAKAB,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BALSU,2025-02-20,2026-05-08,90,0,1,1,0,ok,
BANVT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BARMA,2022-08-10,2026-05-08,222,1,1,1,1,ok,
BASGZ,2021-06-11,2026-05-08,293,1,1,1,1,ok,
BAYRK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BEGYO,2023-12-08,2026-05-08,149,1,1,1,1,ok,
BERA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BESLR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BESTE,2026-02-11,2026-05-08,5,0,0,1,0,ok,
BEYAZ,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BFREN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BIENY,2023-05-18,2026-05-08,172,1,1,1,1,ok,
BIGCH,2023-05-10,2026-05-08,186,1,1,1,1,ok,
BIGEN,2025-02-05,2026-05-08,78,0,1,1,0,ok,
BIGTK,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BIMAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
BINBN,2024-10-09,2026-05-08,113,1,1,1,0,ok,
BINHO,2023-11-20,2026-05-08,166,1,1,1,1,ok,
BIOEN,2021-04-28,2026-05-08,282,1,1,1,1,ok,
BIZIM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
