symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
A1CAP,2026-01-22,2026-05-08,74,False,False,True
A1YEN,2026-01-22,2026-05-08,74,False,False,True
ACSEL,2026-01-22,2026-05-08,74,False,False,True
ADEL,2026-01-22,2026-05-08,74,False,False,True
ADESE,2026-01-22,2026-05-08,74,False,False,True
ADGYO,2026-01-22,2026-05-08,74,False,False,True
AEFES,2026-01-22,2026-05-08,74,False,False,True
AFYON,2026-01-22,2026-05-08,74,False,False,True
AGHOL,2026-01-22,2026-05-08,74,False,False,True
AGROT,2026-01-22,2026-05-08,74,False,False,True
AGYO,2026-01-22,2026-05-08,74,False,False,True
AHGAZ,2026-01-22,2026-05-08,74,False,False,True
AHSGY,2026-01-22,2026-05-08,74,False,False,True
AKBNK,2026-01-22,2026-05-08,74,False,False,True
AKCNS,2026-01-22,2026-05-08,74,False,False,True
AKENR,2026-01-22,2026-05-08,74,False,False,True
AKFYE,2026-01-22,2026-05-08,74,False,False,True
AKGRT,2026-01-22,2026-05-08,74,False,False,True
AKHAN,2026-02-06,2026-05-08,63,False,False,True
AKMGY,2026-01-22,2026-05-08,74,False,False,True
AKSA,2026-01-22,2026-05-08,74,False,False,True
AKSEN,2026-01-22,2026-05-08,74,False,False,True
AKSGY,2026-01-22,2026-05-08,74,False,False,True
AKSUE,2026-01-22,2026-05-08,74,False,False,True
AKYHO,2026-01-22,2026-05-08,74,False,False,True
ALARK,2026-01-22,2026-05-08,74,False,False,True
ALBRK,2026-01-22,2026-05-08,74,False,False,True
ALCAR,2026-01-22,2026-05-08,74,False,False,True
ALCTL,2026-01-22,2026-05-08,74,False,False,True
ALFAS,2026-01-22,2026-05-08,74,False,False,True
ALGYO,2026-01-22,2026-05-08,74,False,False,True
ALKA,2026-01-22,2026-05-08,74,False,False,True
ALKIM,2026-01-22,2026-05-08,74,False,False,True
ALKLC,2026-01-22,2026-05-08,74,False,False,True
ALTNY,2026-01-22,2026-05-08,74,False,False,True
ALVES,2026-01-22,2026-05-08,74,False,False,True
