period_start,period_end,failed_rsi_14,failed_turnover,failed_avg_turnover_20d,failed_above_ma20,failed_return_5d_pct,failed_return_10d_pct,failed_strong_close,failed_missing_metric
2024-01-01,2024-02-01,0,0,0,0,0,0,0,0
2024-02-01,2024-03-01,0,0,0,0,0,0,0,0
2024-03-01,2024-04-01,0,0,0,0,0,0,0,0
2024-04-01,2024-05-01,0,0,0,0,0,0,0,0
2024-05-01,2024-06-01,0,0,0,0,0,0,0,0
2024-06-01,2024-07-01,0,0,0,0,0,0,0,0
2024-07-01,2024-08-01,0,0,0,0,0,0,0,0
2024-08-01,2024-09-01,0,0,0,0,0,0,0,0
2024-09-01,2024-10-01,0,0,0,0,0,0,0,0
2024-10-01,2024-11-01,0,0,0,0,0,0,0,0
2024-11-01,2024-12-01,0,0,0,0,0,0,0,0
2024-12-01,2025-01-01,0,0,0,0,0,0,0,0
2025-01-01,2025-02-01,0,0,0,0,0,0,0,0
2025-02-01,2025-03-01,0,0,0,0,0,0,0,0
2025-03-01,2025-04-01,0,0,0,0,0,0,0,0
2025-04-01,2025-05-01,0,0,0,0,0,0,0,0
2025-05-01,2025-06-01,0,0,0,0,0,0,0,0
2025-06-01,2025-07-01,0,0,0,0,0,0,0,0
2025-07-01,2025-08-01,0,0,0,0,0,0,0,0
2025-08-01,2025-09-01,0,0,0,0,0,0,0,0
2025-09-01,2025-10-01,0,0,0,0,0,0,0,0
2025-10-01,2025-11-01,0,0,0,0,0,0,0,0
2025-11-01,2025-12-01,0,0,0,0,0,0,0,0
2025-12-01,2026-01-01,0,0,0,0,0,0,0,0
2026-01-01,2026-02-01,0,0,0,0,0,0,0,0
2026-02-01,2026-03-01,0,0,0,0,0,0,0,0
2026-03-01,2026-04-01,19,1,12,69,4,0,87,20
2026-04-01,2026-05-01,40,8,24,33,3,0,132,42
2026-05-01,2026-06-01,10,0,1,9,0,0,32,10
