period_start,period_end,strategy,baseline_signal_count,baseline_basket_return_15d,baseline_basket_return_30d,baseline_basket_return_to_current,baseline_benchmark_return_to_current,baseline_alpha_to_current,quality_signal_count,quality_basket_return_15d,quality_basket_return_30d,quality_basket_return_to_current,quality_benchmark_return_to_current,quality_alpha_to_current,quality_minus_baseline_alpha_to_current
2024-01-01,2024-02-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-02-01,2024-03-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-03-01,2024-04-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-04-01,2024-05-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-05-01,2024-06-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-06-01,2024-07-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-07-01,2024-08-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-08-01,2024-09-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-09-01,2024-10-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-10-01,2024-11-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-11-01,2024-12-01,volume_spike_strict,0,,,,,,0,,,,,,
2024-12-01,2025-01-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-01-01,2025-02-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-02-01,2025-03-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-03-01,2025-04-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-04-01,2025-05-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-05-01,2025-06-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-06-01,2025-07-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-07-01,2025-08-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-08-01,2025-09-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-09-01,2025-10-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-10-01,2025-11-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-11-01,2025-12-01,volume_spike_strict,0,,,,,,0,,,,,,
2025-12-01,2026-01-01,volume_spike_strict,0,,,,,,0,,,,,,
2026-01-01,2026-02-01,volume_spike_strict,0,,,,,,0,,,,,,
2026-02-01,2026-03-01,volume_spike_strict,0,,,,,,0,,,,,,
2026-03-01,2026-04-01,volume_spike_strict,270,3.977498961890342,15.422001632992158,20.305058074955827,16.053623765937274,4.251434309018553,114,3.5833331989066006,13.930687295842809,20.37626910634861,16.00607582334011,4.370193283008497,0.1187589739899444
2026-04-01,2026-05-01,volume_spike_strict,354,8.703638646998309,,11.309921257802479,8.4812296405334,2.8286916172690795,163,11.132766936919374,,13.169496477738342,8.12739410274898,5.042102374989362,2.2134107577202826
2026-05-01,2026-06-01,volume_spike_strict,93,,,3.319574960863372,2.0151196115821173,1.3044553492812545,47,,,4.78760720705651,2.277417992145217,2.510189214911293,1.2057338656300387
