symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
TRGYO,volume_spike_strict,2025-12-01,2025-12-01,76.3,2025-12-22,73.0,2026-01-13,78.35,-4.3250327653997385,2.6867627785059023,XU100,2025-12-02,2025-12-23,2026-01-14,1.7506488132452258,11.416954153529236,-6.075681578644964,-8.730191375023335,False,False,2.2049947998352453,2.261351223104542,235643317.7,104204652.19749999,5.096418732782371,0.9047619047619034,75.0675,49.80842911877396,4.807692307692313,3.387533875338744,0.12088844717768504,-2068682.0,-8585956.0,37.556426685144125,90.0,3.0984740237803843,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,106.5,39.58060288335518,35.498742854058605,4.081860029296578,True,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,76.3,73.0,78.35,106.5,2025-12-22,2026-01-13
CGCAM,volume_spike_strict,2025-12-01,2025-12-01,38.0,2026-02-19,35.4,2026-05-08,44.8,-6.842105263157894,17.894736842105253,XU100,2025-12-10,2025-12-31,2026-01-22,24.17822236415401,35.498742854058605,-31.020327627311904,-17.604006011953352,False,False,2.5826482022814274,2.6748710697772107,500715132.0,187192249.248,5.614230127848807,0.7727272727272723,36.18,65.0485436893204,7.648725212464602,9.258194364577331,-0.0013831382370163615,20747176.0,38053348.0,79.24994867711298,90.0,5.359780075210452,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,44.8,17.894736842105253,35.498742854058605,-17.604006011953352,False,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,38.0,35.4,44.8,44.8,2026-02-19,2026-05-08
NIBAS,volume_spike_strict,2025-12-02,2025-12-02,3.9666508,2026-01-15,3.53,2026-02-19,6.0,-11.008047393534115,51.26110924611766,XU100,2025-12-03,2025-12-24,2026-01-15,11.985648363325474,24.09985373269312,-22.993695756859587,27.161255513424543,False,True,4.546325737660635,4.7088438987729075,162872086.99999997,34588550.92700001,9.981515711645116,1.0,3.7269850920000005,54.30016863406408,8.477666362807668,3.4782608695652195,0.17831796317485926,55261835.047340035,98842013.3680532,75.85325661865045,100.0,10.351963327287283,85.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,6.41,61.59728504460236,35.413229864421815,26.184055180180543,True,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,3.9666508,3.53,6.0,6.41,2026-01-15,2026-02-19
ONCSM,volume_spike_strict,2025-12-02,2025-12-02,267.5,2025-12-23,266.0,2026-01-14,289.5,-0.5607476635513975,8.22429906542057,XU100,2025-12-03,2025-12-24,2026-01-15,1.5003411705160508,11.205316326649871,-2.0610888340674482,-2.981017261229301,False,False,2.030724478807871,2.3323154827203365,880764882.5,377635396.68,7.128554265118137,0.8791208791208791,235.05,59.540636042402824,17.530755711775047,11.55129274395328,0.10179049263658135,4749256.0,15173357.0,53.15148961863236,100.0,7.886794957432719,85.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,296.75,10.934579439252335,35.413229864421815,-24.47865042516948,False,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,267.5,266.0,289.5,296.75,2025-12-23,2026-01-14
TUCLK,volume_spike_strict,2025-12-02,2025-12-02,5.18038458,2025-12-23,4.57,2026-01-14,4.44,-11.782611321107739,-14.292077519850842,XU100,2025-12-03,2025-12-24,2026-01-15,1.5003411705160508,11.205316326649871,-13.282952491623789,-25.497393846500714,False,False,2.612239236611944,2.6159182234684555,77379854.53701259,29580379.78511972,4.591265349153062,0.6774193445200303,5.1271386575,56.875000176069825,4.357541863878556,1.4115091517298062,-0.37882613960865086,18311297.227345943,-21546771.995774746,53.79270337357356,80.0,4.528115692563062,65.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,4.4,-15.064220965617958,35.413229864421815,-50.47745083003977,False,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,5.18038458,4.57,4.44,4.4,2025-12-23,2026-01-14
ODINE,volume_spike_strict,2025-12-03,2025-12-03,265.75,2025-12-24,296.5,2026-01-15,349.0,11.571025399811852,31.326434619002818,XU100,2025-12-04,2025-12-25,2026-01-16,2.747892961922016,12.86484693960761,8.823132437889836,18.46158767939521,True,True,2.6505819992009143,2.783296923906304,1063615477.0,382142296.01750004,9.904880066170385,1.0,248.6625,43.86395511921459,16.352889667250437,15.54347826086957,0.37819369728618446,5419023.0,13267368.0,46.94771734429077,100.0,9.482355756081073,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,1200.0,351.552210724365,36.476358226373186,315.07585249799183,True,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,265.75,296.5,349.0,1200.0,2025-12-24,2026-01-15
SARKY,volume_spike_strict,2025-12-03,2025-12-03,15.79,2025-12-24,16.89,2026-01-15,35.44,6.966434452184944,124.44585180493984,XU100,2025-12-04,2025-12-25,2026-01-16,2.747892961922016,12.86484693960761,4.218541490262928,111.58100486533223,True,True,2.1030383693166588,2.195739067188353,43428089.66,19778347.213000003,3.745072273324568,0.9863013698630115,15.148500000000002,65.0,4.224422442244213,3.676953381483905,-0.09871290932857588,3860707.0,3800040.0,64.80155363784046,90.0,4.5240558099367885,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,28.26,78.97403419886007,36.476358226373186,42.49767597248688,True,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,15.79,16.89,35.44,28.26,2025-12-24,2026-01-15
YKSLN,volume_spike_strict,2025-12-04,2025-12-04,3.57244728,2025-12-25,3.26,2026-01-16,3.14,-8.746029136642719,-12.105071008913526,XU100,2025-12-05,2025-12-26,2026-01-19,3.8253388053864468,16.02791956045284,-12.571367942029166,-28.132990569366367,False,False,3.231493234184858,3.354621252424488,90786997.88801706,27063263.19920692,3.5472972542115233,0.7692307489241352,3.439281836,67.67676778181274,4.9657531725959325,4.6075082570947945,-0.1336306957556184,33325750.724594116,24281320.034888744,66.51463253418083,90.0,4.619254575251452,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,3.48,-2.587785704146206,37.955178865980784,-40.54296457012699,False,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,3.57244728,3.26,3.14,3.48,2025-12-25,2026-01-16
OZGYO,volume_spike_strict,2025-12-05,2025-12-05,2.2035,2025-12-26,1.989,2026-01-19,2.07,-9.734513274336276,-6.058543226684831,XU100,2025-12-08,2025-12-29,2026-01-20,2.607343988618527,15.81222399174369,-12.341857262954804,-21.87076721842852,False,False,2.936350973948713,3.1734515566505888,123646961.69999997,38962927.11349999,5.937499999999996,0.6999999999999997,1.9811999999999999,66.66666666666666,14.915254237288146,11.513157894736835,-0.34639156427663154,94171655.3846159,-116138621.53846073,58.51936735152792,80.0,5.123652689332148,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,2.42,9.825277966870892,36.841498014512084,-27.01622004764119,False,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,2.2035,1.989,2.07,2.42,2025-12-26,2026-01-19
TEZOL,volume_spike_strict,2025-12-05,2025-12-05,12.68,2025-12-26,12.07,2026-01-19,12.12,-4.8107255520504655,-4.416403785488965,XU100,2025-12-08,2025-12-29,2026-01-20,2.607343988618527,15.81222399174369,-7.418069540668992,-20.228627777232653,False,False,2.4222978813860556,2.4975070316782464,76666805.03999999,30697333.007500004,3.934426229508192,0.6623376623376624,12.249500000000001,48.507462686567166,4.620462046204632,5.93149540517961,-0.09351600077543429,7616260.0,5893767.0,59.75165475323183,85.0,5.344129443345791,65.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,19.61,54.65299684542586,36.841498014512084,17.811498830913777,True,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,12.68,12.07,12.12,19.61,2025-12-26,2026-01-19
OTKAR,volume_spike_strict,2025-12-08,2025-12-08,529.5,2025-12-29,466.0,2026-01-20,419.75,-11.992445703493859,-20.727101038715766,XU100,2025-12-09,2025-12-30,2026-01-21,-0.34496626301443456,14.444881361991158,-11.647479440479424,-35.17198240070692,False,False,2.5837451044238526,2.91881270106247,520781782.5,178422473.7375,7.841140529531576,0.776595744680851,468.7125,76.21951219512195,15.046170559478544,16.629955947136565,-0.0047336434426954255,2088415.0,1091123.0,71.22219154681126,90.0,6.186521851318716,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,393.0,-25.77903682719547,34.614147191563525,-60.393184018758994,False,2025-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,915,345,570,529.5,466.0,419.75,393.0,2025-12-29,2026-01-20
