period_start,period_end,universe_symbol_count,symbols_with_any_price_data,symbols_with_required_lookback,symbols_with_valid_volume,symbols_with_valid_ohlcv,symbols_with_volume_spike_strict_before_quality,symbols_after_quality_filter,filtered_out_count
2024-01-01,2026-05-08,100,99,99,99,99,99,99,0
2024-02-01,2026-05-08,42,40,40,40,40,40,40,0
2024-03-01,2026-05-08,100,99,99,99,99,99,99,0
2024-04-01,2026-05-08,42,40,40,40,40,40,40,0
2024-05-01,2026-05-08,67,65,65,65,65,65,65,0
2024-06-01,2026-05-08,67,65,65,65,65,65,65,0
2024-07-01,2026-05-08,67,65,65,65,65,65,65,0
2024-08-01,2026-05-08,67,65,65,65,65,65,65,0
2024-09-01,2026-05-08,567,551,551,551,551,550,433,117
2024-10-01,2026-05-08,567,551,551,551,551,550,430,120
2024-11-01,2026-05-08,567,551,551,551,551,550,427,123
2024-12-01,2026-05-08,567,551,551,551,551,550,418,132
2025-01-01,2026-05-08,567,551,551,551,551,550,413,137
2025-02-01,2026-05-08,567,551,551,551,551,549,407,142
2025-03-01,2026-05-08,567,551,551,551,551,548,400,148
2025-04-01,2026-05-08,567,551,551,551,551,548,393,155
2025-05-01,2026-05-08,567,551,551,551,551,548,383,165
2025-06-01,2026-05-08,567,551,551,551,551,544,375,169
2025-07-01,2026-05-08,567,551,551,551,551,543,364,179
2025-08-01,2026-05-08,567,551,551,551,551,530,347,183
2025-09-01,2026-05-08,567,551,551,551,551,514,324,190
2025-10-01,2026-05-08,567,551,551,551,551,505,299,206
2025-11-01,2026-05-08,567,551,551,551,551,485,278,207
2025-12-01,2026-05-08,567,551,551,551,551,470,262,208
2026-01-01,2026-05-08,567,551,551,551,551,449,242,207
2026-02-01,2026-05-08,567,551,551,551,551,345,163,182
2026-03-01,2026-05-08,567,551,551,551,551,285,125,160
2026-04-01,2026-05-08,567,551,551,551,551,201,89,112
2026-05-01,2026-06-01,567,551,551,551,551,24,12,12
