symbol,strategy,signal_date,entry_date,entry_close,exit_15d_date,exit_15d_close,exit_30d_date,exit_30d_close,return_15d,return_30d,benchmark_symbol,benchmark_entry_date,benchmark_exit_15d_date,benchmark_exit_30d_date,benchmark_return_15d,benchmark_return_30d,alpha_15d,alpha_30d,beat_xu100_15d,beat_xu100_30d,rvol_20d,turnover_ratio_20d,turnover,avg_turnover_20d,daily_return_pct,close_position,ma20,rsi_14,return_5d_pct,return_10d_pct,cmf_20,obv_slope_5d,obv_slope_20d,mfi_14,accumulation_score,relative_return_vs_xu100,interest_score,above_ma20,above_ma50,near_20d_high_pct,quality_filter_enabled,filter_reasons,failed_reasons,filter_passed,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,entry_price,exit_price_15d,exit_price_30d,current_price,exit_date_15d,exit_date_30d
RYGYO,volume_spike_strict,2024-01-02,2024-01-02,6.81,2024-01-23,5.925,2024-02-13,6.365,-12.995594713656388,-6.534508076358292,XU100,2024-01-03,2024-01-24,2024-02-14,4.272792614131937,17.96508265031891,-17.268387327788325,-24.4995907266772,False,False,2.571958224211824,2.6023496689787153,107681790.24,41378678.478,3.7319116527037233,0.6310679611650476,6.548,58.20895522388058,12.74834437086092,8.181096108022246,-0.047670600064676244,33281288.0,-7459048.0,76.99071408823154,80.0,1.6689118873165265,60.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,31.9,368.42878120411166,97.56134669588906,270.8674345082226,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,6.81,5.925,6.365,31.9,2024-01-23,2024-02-13
PLTUR,volume_spike_strict,2024-01-03,2024-01-03,15.38,2024-01-24,15.3,2024-02-14,19.59,-0.5201560468140465,27.37321196358906,XU100,2024-01-04,2024-01-25,2024-02-15,9.158880686018978,22.396534557287872,-9.679036732833024,4.976677406301189,False,True,2.2167801600934283,2.4332645908627066,85327501.76,35067087.2705,4.768392370572205,0.7931034482758631,13.985,69.32409012131717,15.639097744360896,15.033657442034421,-0.13775710497739008,7893583.0,3206605.0,68.26263045696192,90.0,9.783905805604732,70.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,27.9,81.4044213263979,103.21868203625453,-21.81426070985664,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,15.38,15.3,19.59,27.9,2024-01-24,2024-02-14
SKYLP,volume_spike_strict,2024-01-03,2024-01-03,112.7,2024-01-24,147.3,2024-02-14,171.3,30.700976042590966,51.99645075421473,XU100,2024-01-04,2024-01-25,2024-02-15,9.158880686018978,22.396534557287872,21.542095356571988,29.599916196926856,True,True,5.9478285049150665,6.336420577147045,101729782.0,16054771.106403347,9.95121951219513,1.0,104.77249984999999,57.92483478843648,26.48709599297634,-0.9666080843585223,0.23877070705473666,1236102.0,1305196.0,69.65890723275642,100.0,12.735085288549385,90.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,343.75,205.01330967169474,103.21868203625453,101.79462763544021,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,112.7,147.3,171.3,343.75,2024-01-24,2024-02-14
TEKTU,volume_spike_strict,2024-01-04,2024-01-04,3.19,2024-01-25,3.26,2024-02-15,4.08,2.1943573667711602,27.89968652037618,XU100,2024-01-05,2024-01-26,2024-02-16,8.241434853982987,22.447622695966608,-6.047077487211827,5.452063824409571,False,True,2.289556572822074,2.292241186619503,48415303.089999996,21121382.5895,10.000000000000009,1.0,3.0969999999999995,43.448275862068975,20.37735849056603,5.980066445182719,-0.1170105553456995,24179089.0,616609.0,39.72066021144569,80.0,8.167848527530897,75.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,13.74,330.72100313479626,99.5623966475812,231.15860648721508,True,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,3.19,3.26,4.08,13.74,2024-01-25,2024-02-15
SMART,volume_spike_strict,2024-01-05,2024-01-05,37.080002,2024-01-26,36.0,2024-02-16,42.599998,-2.912626595866963,14.886719801147796,XU100,2024-01-08,2024-01-29,2024-02-19,9.405894559120597,21.25688548421558,-12.31852115498756,-6.370165683067784,False,False,3.311040202553267,3.447324571912248,235245878.008558,68240130.3101164,3.0000055555555516,0.6570052311606842,34.43499990000001,52.04359850284736,30.747534176744207,1.200881582993496,-0.017512110225751807,14205535.0,7308721.0,67.07893768450131,85.0,1.9283055441165153,75.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,36.24,-2.2653774398394,97.44636394262218,-99.71174138246158,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,37.080002,36.0,42.599998,36.24,2024-01-26,2024-02-16
RAYSG,volume_spike_strict,2024-01-09,2024-01-09,241.5,2024-01-30,265.0,2024-02-20,273.25,9.730848861283636,13.14699792960663,XU100,2024-01-10,2024-01-31,2024-02-21,9.540010535840594,20.794414117271497,0.19083832544304258,-7.6474161876648665,True,False,2.2309995947118146,2.484465998580091,73448844.0,29563231.713365,4.049973974581045,0.8914735592818287,217.6050015,66.2178742271418,0.3740606660822765,14.999999999999991,0.3822884631471905,65972.0,1706773.0,56.90408160082207,100.0,5.106777420379571,80.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,201.7,-16.480331262939963,94.70196696341557,-111.18229822635553,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,241.5,265.0,273.25,201.7,2024-01-30,2024-02-20
TSPOR,volume_spike_strict,2024-01-09,2024-01-09,1.42208251,2024-01-30,1.14674766,2024-02-20,1.33910533,-19.36138360916907,-5.834906161668507,XU100,2024-01-10,2024-01-31,2024-02-21,9.540010535840594,20.794414117271497,-28.901394145009665,-26.629320278940003,False,False,4.4653160818404825,5.0654794904519385,246226983.6546659,48608820.570448644,9.782593977596044,1.0,1.2505410479999999,58.26774484499741,18.823531633371402,22.17740372049162,0.15157121844362045,306805571.55006504,202622821.61535072,64.24283098754941,100.0,10.83939742339457,100.0,True,True,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,1.0,-29.680592161983633,94.70196696341557,-124.38255912539921,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,1.42208251,1.14674766,1.33910533,1.0,2024-01-30,2024-02-20
TKNSA,volume_spike_strict,2024-01-10,2024-01-10,34.139999,2024-01-31,39.5,2024-02-21,45.139999,15.700061971296474,32.220270422386356,XU100,2024-01-11,2024-02-01,2024-02-22,7.905604968514601,18.261755710786787,7.794457002781873,13.95851471159957,True,True,3.304943069835558,3.516710282413045,312104559.27809703,88749010.92618345,5.240444057966842,0.6692301301770244,31.890000150000002,59.0773748627046,8.656903246339919,14.563758877978493,0.0008676195064894751,10882741.0,-1041925.0,83.53033574782702,95.0,3.4579237760083537,80.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,22.84,-33.099002141154145,91.29214566907082,-124.39114781022496,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,34.139999,39.5,45.139999,22.84,2024-01-31,2024-02-21
TOASO,volume_spike_strict,2024-01-11,2024-01-11,227.89999,2024-02-01,251.75,2024-02-22,266.0,10.46512112615714,16.717863831411318,XU100,2024-01-12,2024-02-02,2024-02-23,9.500555980526748,18.37914452454168,0.9645651456303916,-1.6612806931303616,True,False,2.054061290934919,2.1473653601895304,1379022839.49,642192923.9690654,3.0289285714285796,0.8586945652173926,218.03499899999997,58.988756364935654,3.590904545454543,7.601506137865899,0.03815144624536955,5640805.0,12956407.0,71.62329844427765,100.0,2.7520761903962576,70.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,320.25,40.52216500755441,90.7640109625682,-50.24184595501378,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,227.89999,251.75,266.0,320.25,2024-02-01,2024-02-22
PSGYO,volume_spike_strict,2024-01-12,2024-01-12,1.81766291,2024-02-02,2.04999576,2024-02-23,2.90416066,12.781954713484245,59.77443584410269,XU100,2024-01-15,2024-02-05,2024-02-26,8.50450177601616,17.376011745464215,4.277452937468086,42.39842409863847,True,True,3.633778824308645,3.9457771623493123,200126744.18828318,50719221.06952636,7.258064782620277,0.8867924892984124,1.6673298840000002,60.000000292683524,7.910750852709425,15.652173796855307,-0.0705291755571581,202192922.58438587,211396833.328084,74.22278686452967,90.0,9.607621028438318,85.0,True,False,,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,True,2026-05-08,3.19,75.50008763726164,88.60209357570758,-13.102005938445942,False,2024-01-01,2026-05-08,2026-05-08,XUTUM,XU100,100,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1441,598,843,1.81766291,2.04999576,2.90416066,3.19,2024-02-02,2024-02-23
