period_start,period_end,failed_rsi_14,failed_turnover,failed_avg_turnover_20d,failed_above_ma20,failed_return_5d_pct,failed_return_10d_pct,failed_strong_close,failed_missing_metric
2024-01-01,2026-05-08,144,18,147,266,13,6,521,147
2024-02-01,2026-05-08,52,5,44,129,6,2,212,55
2024-03-01,2026-05-08,116,13,129,258,10,5,483,118
2024-04-01,2026-05-08,47,5,41,126,4,1,200,49
2024-05-01,2026-05-08,72,6,50,182,7,3,290,76
2024-06-01,2026-05-08,68,6,50,179,6,3,283,72
2024-07-01,2026-05-08,68,6,48,174,6,3,279,72
2024-08-01,2026-05-08,67,6,48,167,4,2,269,70
2024-09-01,2026-05-08,313,35,295,786,94,41,1299,359
2024-10-01,2026-05-08,307,35,283,738,93,41,1240,352
2024-11-01,2026-05-08,304,30,261,657,92,41,1177,348
2024-12-01,2026-05-08,293,28,244,622,92,41,1114,337
2025-01-01,2026-05-08,282,26,234,600,89,41,1045,323
2025-02-01,2026-05-08,269,26,224,569,88,41,986,309
2025-03-01,2026-05-08,260,23,210,512,86,40,930,300
2025-04-01,2026-05-08,250,19,181,465,80,39,864,285
2025-05-01,2026-05-08,238,14,158,408,69,34,780,266
2025-06-01,2026-05-08,227,14,146,367,66,31,714,253
2025-07-01,2026-05-08,218,12,130,334,62,28,674,241
2025-08-01,2026-05-08,185,8,102,303,54,24,586,203
2025-09-01,2026-05-08,146,7,92,286,43,19,510,161
2025-10-01,2026-05-08,128,7,84,258,37,15,478,142
2025-11-01,2026-05-08,119,6,78,219,31,12,423,131
2025-12-01,2026-05-08,102,6,68,187,27,10,368,111
2026-01-01,2026-05-08,89,5,54,134,23,9,297,97
2026-02-01,2026-05-08,61,3,32,90,12,6,194,65
2026-03-01,2026-05-08,35,3,24,68,10,5,134,39
2026-04-01,2026-05-08,22,3,17,25,6,1,83,24
2026-05-01,2026-06-01,2,0,1,2,0,0,9,2
