period_start,period_end,strategy,baseline_signal_count,baseline_basket_return_15d,baseline_basket_return_30d,baseline_basket_return_to_current,baseline_benchmark_return_to_current,baseline_alpha_to_current,quality_signal_count,quality_basket_return_15d,quality_basket_return_30d,quality_basket_return_to_current,quality_benchmark_return_to_current,quality_alpha_to_current,quality_minus_baseline_alpha_to_current
2024-01-01,2026-05-08,volume_spike_strict,99,12.05872762995704,21.022298788175306,295.90153903020706,80.93556555117866,214.9659734790284,99,7.334332883113592,12.670135373228298,272.94174978095947,65.56583524692962,207.37591453402985,-7.59005894499856
2024-02-01,2026-05-08,volume_spike_strict,40,1.1365431901846321,3.4126279660307324,43.69546931892354,60.065719874759246,-16.370250555835703,40,0.9715640283311039,3.9399361760552063,24.55553770911009,53.20535269514694,-28.64981498603685,-12.279564430201148
2024-03-01,2026-05-08,volume_spike_strict,99,1.545905955795415,6.337227587103111,243.72317393711978,57.789199332857116,185.93397460426266,99,-0.5761223812923868,3.8265885362073706,250.973517348537,51.554135638820746,199.41938170971625,13.48540710545359
2024-04-01,2026-05-08,volume_spike_strict,40,4.61207212461791,1.9871695090627248,35.93968099366578,49.54424524627307,-13.60456425260729,40,1.4991126388641658,1.913681675515461,21.485641695751987,47.68139347477157,-26.19575177901958,-12.591187526412291
2024-05-01,2026-05-08,volume_spike_strict,65,-3.8232134156425626,-3.38052189383402,135.5382641850986,44.87849252804549,90.65977165705311,65,-3.7120484081222735,-2.9387978608907606,153.11582079477108,45.95586351879914,107.15995727597195,16.500185618918835
2024-06-01,2026-05-08,volume_spike_strict,65,-2.4208518148058564,-1.8059676329969165,139.92615396267615,44.71193864513863,95.21421531753752,65,-3.903035442420063,-3.070261847339497,154.59495066383073,46.379321741670196,108.21562892216053,13.00141360462301
2024-07-01,2026-05-08,volume_spike_strict,65,-1.7636327448162232,-5.321469012151992,169.04705561678927,45.01725490736523,124.02980070942404,65,-3.4228171207849107,-4.823156873509914,155.4084296464546,46.53301098862561,108.87541865782899,-15.15438205159505
2024-08-01,2026-05-08,volume_spike_strict,65,-2.083592346592386,-2.367232268276186,175.59039746937995,54.468853556837715,121.12154391254224,65,-0.4826710629421893,0.2418334287151479,154.06294303979672,52.5881021630649,101.47484087673182,-19.646703035810418
2024-09-01,2026-05-08,volume_spike_strict,550,4.606457265444961,13.599841885163737,114.30335823223233,56.109397701223855,58.19396053100847,433,3.7161219936548733,10.021990842589817,90.68366999910222,46.76241877542159,43.921251223680635,-14.272709307327837
2024-10-01,2026-05-08,volume_spike_strict,550,6.800927700906318,18.012109226133283,115.05308259986899,57.890502772281486,57.1625798275875,430,3.969427694762553,11.181738084203152,86.60564897856335,46.875272101926505,39.730376876636846,-17.432202950950654
