row_type,metric,n,avg,median,positive_rate,min,max,std,p10,p90,recommendation
metric,primary_candidate_30d_alpha,27,1.5812702256694282,2.3851766536369814,0.6666666666666666,-5.8405528824786925,7.119641979389179,3.4724518951101877,-3.2419462434819692,5.384378548174598,
metric,primary_candidate_30d_return,27,7.038843528308927,7.204334803412788,0.8888888888888888,-4.823156873509914,14.77783260503926,5.513536667700297,-1.0304190871272154,13.200129550765292,
metric,secondary_candidate_15d_return,28,2.6136243349509156,2.885501829676808,0.8214285714285714,-3.903035442420063,8.615142171442187,3.0565950256128596,-1.4301308031401434,6.336167609580176,
metric,diagnostic_alpha_to_current,29,34.85021273135617,6.7823270241350855,0.7931034482758621,-28.64981498603685,207.37591453402985,59.21112042105688,-4.100849444149768,108.34758686929422,
filter_reason,failed_strong_close,16442,0.3883508904530209,,,,,,,,consider_relaxing
filter_reason,failed_above_ma20,9111,0.21519674996457083,,,,,,,,consider_relaxing
filter_reason,failed_missing_metric,5007,0.11826255373423403,,,,,,,,monitor
filter_reason,failed_rsi_14,4484,0.10590958477018282,,,,,,,,monitor
filter_reason,failed_avg_turnover_20d,3475,0.08207756625253909,,,,,,,,monitor
filter_reason,failed_return_5d_pct,1210,0.028579526666351742,,,,,,,,keep_strict
filter_reason,failed_return_10d_pct,544,0.012848977278095327,,,,,,,,keep_strict
filter_reason,failed_turnover,375,0.008857291322216448,,,,,,,,keep_strict
