period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,quality_filter_enabled,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,symbol,signal_date,entry_price,entry_price,exit_date_15d,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,turnover,avg_turnover_20d,ma20,rsi_14,return_5d_pct,return_10d_pct,filter_passed,filter_reasons,failed_reasons,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,YEOTK,2026-05-04,61.35,61.35,,,,,,,,,,,,,,,2026-05-08,80.6,31.377343113284418,4.82295622497757,26.554386888306848,True,1336423798.65,456582515.31049997,53.04350000000001,72.68170426065163,17.641418983700863,20.886699507389174,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,95.0,2.525161473364484,2.927014841427211,1.0,9.946236559139798,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,PETUN,2026-05-05,13.05,13.05,,,,,,,,,,,,,,,2026-05-08,14.58,11.724137931034484,3.9106580747348962,7.813479856299588,True,68562951.3,28880230.210500002,12.419,67.87564766839378,2.9992107340173657,4.066985645933019,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,75.0,2.232209734326914,2.3740444864969437,0.8815789473684212,4.8192771084337505,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,PNSUT,2026-05-05,13.92,13.92,,,,,,,,,,,,,,,2026-05-08,15.83,13.721264367816088,3.9106580747348962,9.810606293081193,True,204682324.8,48926180.6935,12.913,63.05732484076433,6.178489702517176,7.906976744186034,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,90.0,3.8520078442778884,4.1834928028051195,0.9813664596273296,9.692671394799056,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,PAGYO,2026-05-06,141.2,141.2,,,,,,,,,,,,,,,2026-05-08,139.3,-1.345609065155795,0.9734920827515259,-2.319101147907321,False,99552495.19999999,33913591.075,127.86500000000001,67.37089201877933,8.199233716475085,11.620553359683793,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,85.0,2.6429008536387655,2.9354748950012213,1.0,9.968847352024902,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,PRKME,2026-05-06,20.28,20.28,,,,,,,,,,,,,,,2026-05-08,22.0,8.481262327416172,0.9734920827515259,7.507770244664646,True,104210017.08000001,37413025.083000004,19.24,62.36323851203502,6.849315068493156,3.3639143730886945,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,65.0,2.630206336559429,2.785394039878152,0.6769230769230785,3.522205206738138,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,ONRYT,2026-05-07,71.15,71.15,,,,,,,,,,,,,,,2026-05-08,72.0,1.194659170765977,0.1489336945861952,1.0457254761797818,True,194263691.00000003,81475118.5875,61.80499999999999,75.86206896551727,17.99336650082921,15.785191212367788,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,70.0,2.0673777484796916,2.384331491231535,0.9705882352941193,3.7172011661807725,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,OTKAR,2026-05-07,399.5,399.5,,,,,,,,,,,,,,,2026-05-08,393.0,-1.6270337922402955,0.1489336945861952,-1.7759674868264907,False,729647199.5,268635466.4,388.475,51.00502512562814,7.4646940147948815,2.1086261980830745,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,2.6527126273859456,2.716123858394597,0.9809523809523809,6.604402935290188,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,PAHOL,2026-05-07,1.67,1.67,,,,,,,,,,,,,,,2026-05-08,1.75,4.790419161676662,0.1489336945861952,4.641485467090467,True,2061343975.6999998,731939243.3950001,1.5835000000000004,55.555555555555536,6.369426751592355,4.374999999999996,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,80.0,2.656431012996274,2.816277436005122,0.8571428571428569,7.741935483870965,,True,True
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,RTALB,2026-05-07,3.64,3.64,,,,,,,,,,,,,,,2026-05-08,4.0,9.890109890109876,0.1489336945861952,9.741176195523682,True,837142036.64,98139923.3035,3.5665,50.393700787401585,0.0,-1.6216216216216273,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,85.0,8.294173997993461,8.53008651791095,1.0,9.969788519637458,,True,False
2026-05-01,2026-06-01,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,24,12,12,SEGYO,2026-05-07,5.26,5.26,,,,,,,,,,,,,,,2026-05-08,5.0,-4.942965779467679,0.1489336945861952,-5.091899474053874,False,251148257.42,64333711.423,4.925,63.7037037037037,4.572564612326024,7.346938775510181,True,"volume_spike_strict,min_last_turnover_try,min_avg_turnover_20d_try,above_ma20,max_rsi_14,max_return_5d_pct,max_return_10d_pct,strong_close",,85.0,3.630152347845212,3.903835980621068,0.7659574468085099,7.56646216768917,,True,True
