period_start,symbol,status,baseline_signal,passed_quality_filter,filter_reasons,failed_reasons,return_15d,return_30d,return_to_current,benchmark_return_to_current,elapsed_seconds,error_message,updated_at
2026-05-01,A1CAP,no_signal,0,0,,,,,,,0.0,,2026-05-25T15:57:41.478089Z
2026-05-01,A1YEN,no_signal,0,0,,,,,,,0.0,,2026-05-25T15:57:41.478225Z
2026-05-01,AAGYO,no_signal,0,0,,,,,,,0.0,,2026-05-25T15:57:41.478345Z
2026-05-01,ACSEL,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.478461Z
2026-05-01,ADEL,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.478571Z
2026-05-01,ADESE,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.478689Z
2026-05-01,ADGYO,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.478801Z
2026-05-01,AEFES,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.478909Z
2026-05-01,AFYON,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.479031Z
2026-05-01,AGESA,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.479140Z
2026-05-01,AGHOL,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.479254Z
2026-05-01,AGROT,no_signal,0,0,,,,,,,0.001,,2026-05-25T15:57:41.479363Z
2026-05-01,AGYO,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.479478Z
2026-05-01,AHGAZ,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.479587Z
2026-05-01,AHSGY,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.479698Z
2026-05-01,AKBNK,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.479806Z
2026-05-01,AKCNS,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.479916Z
2026-05-01,AKENR,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.480031Z
2026-05-01,AKFGY,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.480141Z
2026-05-01,AKFIS,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.480249Z
2026-05-01,AKFYE,no_signal,0,0,,,,,,,0.002,,2026-05-25T15:57:41.480357Z
2026-05-01,AKGRT,no_signal,0,0,,,,,,,0.003,,2026-05-25T15:57:41.480469Z
2026-05-01,AKHAN,no_signal,0,0,,,,,,,0.003,,2026-05-25T15:57:41.480575Z
2026-05-01,AKMGY,no_signal,0,0,,,,,,,0.003,,2026-05-25T15:57:41.480688Z
2026-05-01,AKSA,no_signal,0,0,,,,,,,0.003,,2026-05-25T15:57:41.480795Z
2026-05-01,AKSEN,no_signal,0,0,,,,,,,0.008,,2026-05-25T15:57:41.486062Z
2026-05-01,AKSGY,no_signal,0,0,,,,,,,0.008,,2026-05-25T15:57:41.486185Z
2026-05-01,AKSUE,no_signal,0,0,,,,,,,0.008,,2026-05-25T15:57:41.486299Z
2026-05-01,AKYHO,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.486416Z
2026-05-01,ALARK,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.486528Z
2026-05-01,ALBRK,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.486644Z
2026-05-01,ALCAR,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.486754Z
2026-05-01,ALCTL,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.486869Z
2026-05-01,ALFAS,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.486992Z
2026-05-01,ALGYO,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.487121Z
2026-05-01,ALKA,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.487230Z
2026-05-01,ALKIM,no_signal,0,0,,,,,,,0.009,,2026-05-25T15:57:41.487341Z
2026-05-01,ALKLC,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.487449Z
2026-05-01,ALTNY,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.487562Z
2026-05-01,ALVES,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.487671Z
2026-05-01,ANELE,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.487783Z
2026-05-01,ANGEN,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.487891Z
2026-05-01,ANHYT,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.488004Z
2026-05-01,ANSGR,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.488120Z
2026-05-01,ARASE,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.488234Z
2026-05-01,ARCLK,no_signal,0,0,,,,,,,0.01,,2026-05-25T15:57:41.488344Z
2026-05-01,ARDYZ,no_signal,0,0,,,,,,,0.011,,2026-05-25T15:57:41.488453Z
2026-05-01,ARENA,no_signal,0,0,,,,,,,0.011,,2026-05-25T15:57:41.488562Z
2026-05-01,ARFYE,no_signal,0,0,,,,,,,0.011,,2026-05-25T15:57:41.488677Z
2026-05-01,ARMGD,no_signal,0,0,,,,,,,0.011,,2026-05-25T15:57:41.488792Z
2026-05-01,ARSAN,no_signal,0,0,,,,,,,0.015,,2026-05-25T15:57:41.492957Z
2026-05-01,ARTMS,no_signal,0,0,,,,,,,0.015,,2026-05-25T15:57:41.493095Z
2026-05-01,ARZUM,no_signal,0,0,,,,,,,0.015,,2026-05-25T15:57:41.493210Z
2026-05-01,ASELS,no_signal,0,0,,,,,,,0.015,,2026-05-25T15:57:41.493326Z
2026-05-01,ASGYO,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.493437Z
2026-05-01,ASTOR,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.493553Z
2026-05-01,ASUZU,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.493661Z
2026-05-01,ATAGY,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.493769Z
2026-05-01,ATAKP,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.493881Z
2026-05-01,ATATP,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.493991Z
2026-05-01,ATATR,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.494115Z
2026-05-01,AVGYO,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.494223Z
2026-05-01,AVHOL,no_signal,0,0,,,,,,,0.016,,2026-05-25T15:57:41.494336Z
2026-05-01,AVOD,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.494444Z
2026-05-01,AVPGY,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.494556Z
2026-05-01,AVTUR,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.494663Z
2026-05-01,AYCES,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.494775Z
2026-05-01,AYDEM,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.494881Z
2026-05-01,AYEN,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.494991Z
2026-05-01,AYGAZ,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.495108Z
2026-05-01,AZTEK,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.495219Z
2026-05-01,BAGFS,no_signal,0,0,,,,,,,0.017,,2026-05-25T15:57:41.495324Z
2026-05-01,BAHKM,no_signal,0,0,,,,,,,0.018,,2026-05-25T15:57:41.495446Z
2026-05-01,BAKAB,no_signal,0,0,,,,,,,0.018,,2026-05-25T15:57:41.495553Z
2026-05-01,BALSU,no_signal,0,0,,,,,,,0.018,,2026-05-25T15:57:41.495666Z
2026-05-01,BANVT,no_signal,0,0,,,,,,,0.022,,2026-05-25T15:57:41.500185Z
2026-05-01,BARMA,no_signal,0,0,,,,,,,0.022,,2026-05-25T15:57:41.500300Z
2026-05-01,BASGZ,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.500422Z
2026-05-01,BAYRK,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.500533Z
2026-05-01,BEGYO,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.500649Z
2026-05-01,BERA,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.500757Z
2026-05-01,BESLR,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.500870Z
2026-05-01,BESTE,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.500977Z
2026-05-01,BEYAZ,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.501100Z
2026-05-01,BFREN,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.501208Z
2026-05-01,BIENY,no_signal,0,0,,,,,,,0.023,,2026-05-25T15:57:41.501320Z
2026-05-01,BIGCH,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.501430Z
2026-05-01,BIGEN,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.501540Z
2026-05-01,BIGTK,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.501648Z
2026-05-01,BIMAS,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.501758Z
2026-05-01,BINBN,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.501866Z
2026-05-01,BINHO,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.501975Z
2026-05-01,BIOEN,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.502097Z
2026-05-01,BIZIM,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.502205Z
2026-05-01,BJKAS,no_signal,0,0,,,,,,,0.024,,2026-05-25T15:57:41.502321Z
2026-05-01,BLCYT,no_signal,0,0,,,,,,,0.025,,2026-05-25T15:57:41.502427Z
2026-05-01,BLUME,no_signal,0,0,,,,,,,0.025,,2026-05-25T15:57:41.502535Z
2026-05-01,BMSCH,no_signal,0,0,,,,,,,0.025,,2026-05-25T15:57:41.502643Z
2026-05-01,BMSTL,no_signal,0,0,,,,,,,0.025,,2026-05-25T15:57:41.502754Z
2026-05-01,BNTAS,no_signal,0,0,,,,,,,0.025,,2026-05-25T15:57:41.502861Z
2026-05-01,BOBET,no_signal,0,0,,,,,,,0.029,,2026-05-25T15:57:41.506944Z
2026-05-01,BORLS,no_signal,0,0,,,,,,,0.029,,2026-05-25T15:57:41.507089Z
2026-05-01,BORSK,no_signal,0,0,,,,,,,0.029,,2026-05-25T15:57:41.507216Z
2026-05-01,BOSSA,no_signal,0,0,,,,,,,0.029,,2026-05-25T15:57:41.507331Z
2026-05-01,BRISA,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.507449Z
2026-05-01,BRKSN,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.507560Z
2026-05-01,BRKVY,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.507677Z
2026-05-01,BRLSM,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.507787Z
2026-05-01,BRSAN,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.507903Z
2026-05-01,BRYAT,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.508013Z
2026-05-01,BSOKE,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.508137Z
2026-05-01,BTCIM,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.508246Z
2026-05-01,BUCIM,no_signal,0,0,,,,,,,0.03,,2026-05-25T15:57:41.508358Z
2026-05-01,BULGS,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.508471Z
2026-05-01,BURCE,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.508583Z
2026-05-01,BURVA,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.508693Z
2026-05-01,BVSAN,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.508804Z
2026-05-01,BYDNR,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.508919Z
2026-05-01,CANTE,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.509036Z
2026-05-01,CATES,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.509146Z
2026-05-01,CCOLA,no_signal,0,0,,,,,,,0.031,,2026-05-25T15:57:41.509260Z
2026-05-01,CELHA,no_signal,0,0,,,,,,,0.032,,2026-05-25T15:57:41.509374Z
2026-05-01,CEMAS,no_signal,0,0,,,,,,,0.032,,2026-05-25T15:57:41.509486Z
2026-05-01,CEMTS,no_signal,0,0,,,,,,,0.032,,2026-05-25T15:57:41.509599Z
2026-05-01,CEMZY,no_signal,0,0,,,,,,,0.032,,2026-05-25T15:57:41.509708Z
2026-05-01,CEOEM,no_signal,0,0,,,,,,,0.036,,2026-05-25T15:57:41.513728Z
2026-05-01,CGCAM,no_signal,0,0,,,,,,,0.036,,2026-05-25T15:57:41.513843Z
2026-05-01,CIMSA,no_signal,0,0,,,,,,,0.036,,2026-05-25T15:57:41.513955Z
2026-05-01,CLEBI,no_signal,0,0,,,,,,,0.036,,2026-05-25T15:57:41.514088Z
2026-05-01,CMBTN,no_signal,0,0,,,,,,,0.036,,2026-05-25T15:57:41.514198Z
2026-05-01,CONSE,no_signal,0,0,,,,,,,0.036,,2026-05-25T15:57:41.514312Z
2026-05-01,COSMO,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.514419Z
2026-05-01,CRDFA,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.514533Z
2026-05-01,CRFSA,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.514642Z
2026-05-01,CUSAN,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.514752Z
2026-05-01,CVKMD,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.514860Z
2026-05-01,CWENE,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.514969Z
2026-05-01,DAGI,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.515091Z
2026-05-01,DAPGM,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.515199Z
2026-05-01,DARDL,no_signal,0,0,,,,,,,0.037,,2026-05-25T15:57:41.515316Z
2026-05-01,DCTTR,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.515428Z
2026-05-01,DENGE,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.515542Z
2026-05-01,DERHL,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.515648Z
2026-05-01,DERIM,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.515760Z
2026-05-01,DESA,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.515866Z
2026-05-01,DESPC,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.515975Z
2026-05-01,DEVA,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.516091Z
2026-05-01,DGATE,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.516199Z
2026-05-01,DGGYO,no_signal,0,0,,,,,,,0.038,,2026-05-25T15:57:41.516311Z
